HotelName,10/1/2015 0:00_1,10/1/2015 0:00_2,10/1/2015 0:00_3,10/1/2015 0:00_4,10/14/2015 0:00_1,10/14/2015 0:00_2,10/14/2015 0:00_3,10/14/2015 0:00_4,10/15/2015 0:00_1,10/15/2015 0:00_2,10/15/2015 0:00_3,10/15/2015 0:00_4,10/16/2015 0:00_1,10/16/2015 0:00_2,10/16/2015 0:00_3,10/16/2015 0:00_4,10/2/2015 0:00_1,10/2/2015 0:00_2,10/2/2015 0:00_3,10/2/2015 0:00_4,10/21/2015 0:00_1,10/21/2015 0:00_2,10/21/2015 0:00_3,10/21/2015 0:00_4,10/22/2015 0:00_1,10/22/2015 0:00_2,10/22/2015 0:00_3,10/22/2015 0:00_4,10/27/2015 0:00_1,10/27/2015 0:00_2,10/27/2015 0:00_3,10/27/2015 0:00_4,10/28/2015 0:00_1,10/28/2015 0:00_2,10/28/2015 0:00_3,10/28/2015 0:00_4,10/29/2015 0:00_1,10/29/2015 0:00_2,10/29/2015 0:00_3,10/29/2015 0:00_4,10/30/2015 0:00_1,10/30/2015 0:00_2,10/30/2015 0:00_3,10/30/2015 0:00_4,10/31/2015 0:00_1,10/31/2015 0:00_2,10/31/2015 0:00_3,10/31/2015 0:00_4,10/7/2015 0:00_1,10/7/2015 0:00_2,10/7/2015 0:00_3,10/7/2015 0:00_4,11/10/2015 0:00_1,11/10/2015 0:00_2,11/10/2015 0:00_3,11/10/2015 0:00_4,11/11/2015 0:00_1,11/11/2015 0:00_2,11/11/2015 0:00_3,11/11/2015 0:00_4,11/12/2015 0:00_1,11/12/2015 0:00_2,11/12/2015 0:00_3,11/12/2015 0:00_4,11/13/2015 0:00_1,11/13/2015 0:00_2,11/13/2015 0:00_3,11/13/2015 0:00_4,11/18/2015 0:00_1,11/18/2015 0:00_2,11/18/2015 0:00_3,11/18/2015 0:00_4,11/21/2015 0:00_1,11/21/2015 0:00_2,11/21/2015 0:00_3,11/21/2015 0:00_4,11/26/2015 0:00_1,11/26/2015 0:00_2,11/26/2015 0:00_3,11/26/2015 0:00_4,11/27/2015 0:00_1,11/27/2015 0:00_2,11/27/2015 0:00_3,11/27/2015 0:00_4,11/28/2015 0:00_1,11/28/2015 0:00_2,11/28/2015 0:00_3,11/28/2015 0:00_4,11/3/2015 0:00_1,11/3/2015 0:00_2,11/3/2015 0:00_3,11/3/2015 0:00_4,11/4/2015 0:00_1,11/4/2015 0:00_2,11/4/2015 0:00_3,11/4/2015 0:00_4,11/5/2015 0:00_1,11/5/2015 0:00_2,11/5/2015 0:00_3,11/5/2015 0:00_4,11/6/2015 0:00_1,11/6/2015 0:00_2,11/6/2015 0:00_3,11/6/2015 0:00_4,11/7/2015 0:00_1,11/7/2015 0:00_2,11/7/2015 0:00_3,11/7/2015 0:00_4,12/30/2015 0:00_1,12/30/2015 0:00_2,12/30/2015 0:00_3,12/30/2015 0:00_4,8/12/2015 0:00_1,8/12/2015 0:00_2,8/12/2015 0:00_3,8/12/2015 0:00_4,8/19/2015 0:00_1,8/19/2015 0:00_2,8/19/2015 0:00_3,8/19/2015 0:00_4,8/26/2015 0:00_1,8/26/2015 0:00_2,8/26/2015 0:00_3,8/26/2015 0:00_4,8/27/2015 0:00_1,8/27/2015 0:00_2,8/27/2015 0:00_3,8/27/2015 0:00_4,8/28/2015 0:00_1,8/28/2015 0:00_2,8/28/2015 0:00_3,8/28/2015 0:00_4,9/10/2015 0:00_1,9/10/2015 0:00_2,9/10/2015 0:00_3,9/10/2015 0:00_4,9/11/2015 0:00_1,9/11/2015 0:00_2,9/11/2015 0:00_3,9/11/2015 0:00_4,9/16/2015 0:00_1,9/16/2015 0:00_2,9/16/2015 0:00_3,9/16/2015 0:00_4,9/17/2015 0:00_1,9/17/2015 0:00_2,9/17/2015 0:00_3,9/17/2015 0:00_4,9/18/2015 0:00_1,9/18/2015 0:00_2,9/18/2015 0:00_3,9/18/2015 0:00_4,9/30/2015 0:00_1,9/30/2015 0:00_2,9/30/2015 0:00_3,9/30/2015 0:00_4,9/9/2015 0:00_1,9/9/2015 0:00_2,9/9/2015 0:00_3,9/9/2015 0:00_4
Aloft Harlem,-1.0,-1.0,-1.0,-1.0,10.316679779701023,-1.0,8.18253343823761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.929976396538159,-1.0,-1.0,9.24468922108576,9.775767112509834,10.316679779701023,8.290715971675846,-1.0,9.01848937844217,-1.0,-1.0,-1.0,8.782454760031472,-1.0,-1.0,8.733280881195908,-1.0,-1.0,11.850904799370575,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.926435877262,-1.0,-1.0,-1.0,10.690401258851297,-1.0,-1.0,-1.0,-1.0,-1.0,9.36270653029111,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.612116443745083,-1.0,-1.0,-1.0,9.687254130605822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.963021243115657,6.992525570416995,6.766325727773406,7.208890637293469,7.208890637293469,7.208890637293469,7.208890637293469,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.749803304484658,8.18253343823761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Andaz 5th Avenue - a concept by Hyatt,18.223839496459483,19.994099134539734,25.10818253343824,24.026357199055862,-1.0,20.68253343823761,-1.0,-1.0,21.27261998426436,-1.0,-1.0,-1.0,18.322187254130608,-1.0,24.026357199055862,-1.0,17.83044846577498,-1.0,21.075924468922107,18.912273800157354,-1.0,20.013768686073956,-1.0,-1.0,17.053501180173093,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.545239968528715,17.702596380802518,-1.0,-1.0,17.63375295043273,24.026357199055862,-1.0,-1.0,15.28324154209284,-1.0,-1.0,-1.0,-1.0,19.305664830841856,-1.0,17.191188040912667,-1.0,22.354445318646736,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.22738001573564,20.09244689221086,-1.0,16.856805664830844,15.194728560188828,16.620771046420142,17.053501180173093,15.135719905586154,15.420928402832415,14.909520062942565,18.636900078678206,-1.0,-1.0,-1.0,-1.0,-1.0,11.506687647521636,11.378835562549174,10.041306058221872,16.787962234461055,-1.0,18.18450039339103,-1.0,-1.0,24.0558615263572,17.161683713611332,20.948072383949643,25.098347757671124,17.98780487804878,22.34461054287962,25.68843430369788,-1.0,-1.0,-1.0,-1.0,16.905979543666405,20.09244689221086,20.190794649881983,18.34185680566483,16.355232100708104,-1.0,-1.0,-1.0,17.023996852871754,-1.0,-1.0,16.610936270653028,-1.0,-1.0,22.364280094413846,21.518489378442172,-1.0,16.915814319433515,-1.0,-1.0,-1.0,-1.0,13.109756097560975,-1.0,-1.0,-1.0,-1.0,16.679779701022817,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.040912667191188,-1.0,-1.0,-1.0,-1.0,-1.0,19.797403619197482,-1.0,-1.0,-1.0,18.125491738788355,21.46931549960661,20.584185680566485,-1.0,-1.0,-1.0,22.393784421715186,23.78048780487805,17.545239968528715,19.345003933910306,20.05310778914241,25.10818253343824,16.168371361132966,21.66601101494886,18.14516129032258,16.66011014948859,-1.0,21.17427222659323,21.46931549960661,-1.0,-1.0,-1.0,25.59992132179386,-1.0
Andaz Wall Street - a concept by Hyatt,-1.0,13.375295043273013,-1.0,11.83123524783635,12.716365066876476,15.66679779701023,15.420928402832415,-1.0,-1.0,11.919748229740362,-1.0,14.92918961447679,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.276947285601889,-1.0,15.66679779701023,13.109756097560975,15.617623918174667,16.650275373721477,13.94571203776554,14.437450826121164,14.093233674272227,14.486624704956727,-1.0,16.650275373721477,-1.0,17.58457907159717,13.15892997639654,11.732887490165224,14.830841856805666,16.06018882769473,13.453973249409914,14.171911880409127,14.437450826121164,-1.0,15.076711250983477,14.880015735641228,12.22462627852085,-1.0,19.590873328088122,16.355232100708104,17.417387883556255,-1.0,19.453186467348544,-1.0,19.846577498033042,-1.0,-1.0,10.03147128245476,11.939417781274587,12.657356412273801,7.336742722265932,9.569236821400471,10.798583792289536,-1.0,10.03147128245476,10.513375295043273,9.667584579071598,7.818646734854445,11.339496459480722,14.781667977970104,11.447678992918961,-1.0,7.110542879622344,-1.0,-1.0,-1.0,-1.0,6.520456333595594,6.323760818253343,6.667977970102282,9.520062942564909,10.316679779701023,7.926829268292683,7.533438237608182,17.053501180173093,11.329661683713612,10.218332022029898,14.289929189614478,13.935877261998428,12.254130605822187,-1.0,-1.0,17.879622344610542,15.814319433516916,16.99449252557042,18.223839496459483,-1.0,12.22462627852085,14.880015735641228,-1.0,11.83123524783635,11.732887490165224,11.142800944138473,-1.0,11.929583005507475,-1.0,-1.0,9.765932336742722,-1.0,-1.0,12.22462627852085,-1.0,-1.0,-1.0,-1.0,-1.0,10.159323367427223,9.765932336742722,10.060975609756099,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.192368214004722,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.404405979543665,12.913060582218725,13.109756097560975,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.92918961447679,15.273406766325728,15.076711250983477,-1.0,15.273406766325728,15.617623918174667,14.880015735641228,14.978363493312353,-1.0,-1.0,12.913060582218725,23.387096774193548,-1.0,-1.0,13.109756097560975,-1.0
Baccarat Hotel and Residences New York,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.86113296616837,-1.0,-1.0,-1.0,33.86113296616837,-1.0,-1.0,-1.0,32.63178599527931,-1.0,-1.0,-1.0,31.894177812745873,-1.0,-1.0,-1.0,32.14004720692368,-1.0,-1.0,-1.0,-1.0,48.12155782848151,48.12155782848151,38.53265145554681,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.82612116443745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Bentley Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.48190401258851,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.552714398111723,10.533044846577498,10.444531864673486,10.395357985837924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.09166011014949,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.151848937844218,-1.0,-1.0,14.417781274586938,15.31274586939418,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.271439811172305,-1.0,11.369000786782061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.592446892210858,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.379228953579858,7.926829268292683,7.877655389457121,8.330055074744296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.795830055074744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.618804091266719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Best Western Bayside Inn,-1.0,-1.0,-1.0,-1.0,-1.0,4.592840283241542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.6585365853658534,4.130605822187254,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.130605822187254,-1.0,3.6585365853658534,3.8945712037765543,3.1864673485444537,-1.0,-1.0,4.543666404405979,4.297797010228167,-1.0,-1.0,4.012588512981904,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.924075531077891,4.169944925255704,3.432336742722266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.4421715184893786,3.668371361132966,2.989771833202203,-1.0,-1.0,3.5601888276947284,4.563335955940205,-1.0,3.3929976396538155,3.9732494099134543,4.464988198269079,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.9339103068450036,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.8977183320220306,-1.0,-1.0,4.651848937844217,-1.0,-1.0,-1.0,-1.0,4.868214004720692,4.592840283241542,-1.0,-1.0,4.848544453186467,-1.0,-1.0,-1.0,4.169944925255704,-1.0,-1.0,-1.0,4.592840283241542,-1.0,-1.0,-1.0,5.222265932336743,5.153422501966955,-1.0
Best Western Bowery Hanbee Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.523210070810386,-1.0,-1.0,-1.0,10.493705743509048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.746262785208497,9.697088906372935,-1.0,-1.0,-1.0,10.710070810385524,-1.0,10.54287962234461,10.710070810385524,10.375688434303697,-1.0,-1.0,11.231313926042487,11.231313926042487,-1.0,-1.0,-1.0,10.523210070810386,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.969315499606608,9.618410700236035,-1.0,-1.0,9.01848937844217,-1.0,-1.0,-1.0,11.231313926042487,11.231313926042487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.3206136900078675,5.222265932336743,5.241935483870968,5.350118017309206,6.07789142407553,6.42210857592447,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.825334382376082,6.42210857592447,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.847757671125098,10.297010228166798,-1.0,-1.0,11.241148701809598,-1.0,-1.0,-1.0,-1.0,11.054287962234461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.162470495672698,11.624704956726987,12.972069236821401,-1.0,-1.0,10.297010228166798,10.277340676632573,-1.0
Best Western Plus Arena Hotel,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.474429583005507,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.867820613690007,9.874114870180959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.008654602675058,8.005507474429582,7.749803304484658,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.713611329661685,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.513768686073957,-1.0,-1.0,4.7600314712824545,5.0747442958300555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.628638867033832,-1.0,-1.0,5.310778914240755,3.3929976396538155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.166404405979543,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Best Western Plus Newark Airport West,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.8717545239968527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.5963808025177024,-1.0,-1.0,-1.0,-1.0,2.4488591660110153,2.2718332022029895,-1.0,-1.0,2.2718332022029895,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.163650668764752,-1.0,-1.0,2.025963808025177,2.183320220298977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.8882769472856018,-1.0,2.2128245476003148,-1.0,-1.0,2.025963808025177,2.2029897718332023,-1.0,-1.0,-1.0,2.173485444531865,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.452006294256491,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.143981117230527,2.321007081038552,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.832415420928403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.4586939417781273,2.3013375295043272,-1.0,-1.0,2.62588512981904,-1.0,-1.0,-1.0,2.7143981117230527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.4980330448465775,-1.0,-1.0,-1.0,-1.0,2.684893784421715,-1.0,-1.0,-1.0,-1.0,-1.0
Blakely New York,-1.0,-1.0,-1.0,-1.0,18.80409126671912,18.194335169158144,16.355232100708104,18.80409126671912,16.355232100708104,17.58457907159717,18.194335169158144,16.355232100708104,17.850118017309207,17.840283241542092,17.309205350118017,17.840283241542092,-1.0,-1.0,-1.0,-1.0,18.322187254130608,18.322187254130608,20.308811959087333,18.322187254130608,-1.0,-1.0,-1.0,-1.0,18.322187254130608,18.322187254130608,18.322187254130608,18.322187254130608,-1.0,-1.0,19.20731707317073,-1.0,-1.0,18.243509047993705,19.46302124311566,-1.0,-1.0,-1.0,-1.0,-1.0,14.880015735641228,16.483084185680568,-1.0,15.24390243902439,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.07081038552321,10.080645161290322,10.080645161290322,10.080645161290322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.424468922108575,-1.0,13.424468922108575,13.139260424862313,-1.0,-1.0,-1.0,-1.0,-1.0,13.601494885916601,13.611329661683714,13.51298190401259,13.601494885916601,13.601494885916601,13.611329661683714,13.306451612903224,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.175845790715972,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
